来源	客户名称	二月份有没有下单
Erp	天津相成货运代理有限公司	0
Erp	天津新慧物流有限公司	0
Erp	天津鑫启航货运代理有限公司	0
Erp	天津鑫源杰运物流有限公司	0
Erp	天津鑫泽顺国际货运代理有限公司	0
Erp	天津星睿货运代理有限公司	0
Erp	天津兴禄物流有限公司	0
Erp	天津旭禾物流有限公司	0
Erp	天津冶村物流有限公司	0
Erp	天津英豪物流有限公司	0
Erp	天津永铭达物流有限公司	0
Erp	天津永翔物流有限公司	0
Erp	天津远展物流有限公司	0
Erp	天津蕴盛源货运代理有限公司	0
Erp	天津振远货运代理有限公司	0
Erp	天津中尚聚通国际货运代理有限公司	0
Erp	天津恒远货运代理有限公司	0
Erp	天津达通国际货运代理有限公司	0
Erp	天津滨海东旺运输有限公司	1
Erp	天津长达国际物流有限公司	0
Erp	天津市国敏国际货运代理有限公司	0
Erp	天津森辉国际货运代理有限公司	0
Erp	天津合盛鑫物流有限公司	1
Erp	天津荣峰物流有限公司	0
Erp	承德启辰物流有限公司	1
Erp	天津松海嘉禾国际货运代理有限公司	0
Erp	霸州宏麟家具有限公司	0
Erp	天津永盛源通国际货运代理有限公司	0
Erp	天津琦迅物流有限公司	0
Erp	天津玖富国际物流有限公司	0
Erp	承德启辰物流有限公司	0
Erp	辛集市陆港船舶服务有限公司	1
Erp	山西中津贸易有限公司	0
Erp	天津顺景程物流有限公司	0
Erp	天津优尼尔家具有限公司	0
Erp	天津顺景程物流有限公司	0
Erp	天津众合国际货运代理有限公司	0
Erp	鑫源盛和（天津）国际物流有限公司	0
Erp	柏瑞思(天津)家具贸易有限公司 	0
Erp	霸州市迈伦家具有限公司	0
Erp	南京晶明塑料装饰材料有限公司	1
Erp	霸州市双爱家具有限公司	1
Erp	苏美达国际技术贸易有限公司	1
Erp	霸州晨星家具有限公司	1
Erp	宏大地昆(天津)贸易有限公司	1
Erp	廊坊奈欧家具有限公司	0
Erp	青岛成达顺航国际物流有限公司	0
Erp	廊坊梵果家具有限公司	0
Erp	霸州市标典家具有限公司	1
Erp	天津阗旭运输有限公司 	1
Erp	黄骅市鼎岳金属制品有限公司	0
Erp	天津松海嘉禾国际货运代理有限公司	1
Erp	天津锐天国际货运代理有限公司	1
Erp	天津市瑞宝国际贸易有限公司	1
Erp	天津机电进出口有限公司-李彬	1
Erp	艾依兰斯国际贸易(北京)有限公司	0
Erp	廊坊鑫时利家具有限公司	1
Erp	天津市国敏国际货运代理有限公司	1
Erp	天津市金旭供应链管理有限公司	1
Erp	北京德仪恩贸易有限公司	1
